# ts(s),tx, ty, tz, qx, qy, qz, qw 
0.0,9.5,-14.700000000000001,4.0,0.004043689963969111,0.0,0.0,0.9999918242523163
0.1037359,9.49854299,-14.69998826,4.00028617,0.006888840135813338,0.005164903331975072,0.0023075244486711476,0.9999602707038281
0.2073381,9.494211739999999,-14.69995367,3.99692674,0.005807479738368814,0.0012293483330354602,-0.0016505278551737106,0.9999810186396357
0.3110752,9.48712046,-14.69989818,4.00388411,0.0024133613159732815,-0.0010247700528231052,0.0029692811685967414,0.999992154420643
0.4146917,9.47745101,-14.699825,4.004491750000001,0.003211245419581246,-0.004007011031318956,0.005458417653600966,0.9999719183267942
0.5184302,9.46544596,-14.699738580000002,4.0,0.0034912011905881427,0.0,0.0,0.9999939057385534
0.6220448,9.45139844,-14.6996444,3.99646055,-0.0004966297056088469,0.004818359208186921,-0.004227056213388217,0.9999793341710844
0.7257977,9.43563915,-14.69954895,3.9970579600000002,0.0001672324167886655,0.0018399654899719617,-0.001738274900516393,0.9999967824751662
0.8294199,9.41851868,-14.69945965,4.0031737099999996,0.004323014985626745,-0.0011339321384927442,0.0004195826100530343,0.9999899247941315
0.9331467,9.40039028,-14.699384649999999,4.00490457,0.0012704728347177519,-0.0006464100985441514,-0.0035193896413370875,0.9999927909486713
1.03691,9.38158638,-14.69933276,4.0,0.0009800022181283498,0.0,0.0,0.999999519797711
1.140497,9.3623963,-14.69931312,3.9984284700000003,0.0059009252491097845,0.0010432056211694385,0.0039403107081990895,0.999974282046673
1.244242,9.34303724,-14.69933513,4.000123530000001,0.002197196066360329,0.001543158029927384,-1.0039660065878796e-05,0.9999963954394764
1.347979,9.31999854,-14.69942825,3.99999231,-0.006493647418627109,-0.001538322070084943,0.0007310238049176636,0.9999774656024043
1.451596,9.290681090000001,-14.69967187,4.00225409,-0.012515690318529825,-0.0010632962431957312,0.0002487457097486778,0.9999210793970301
1.555212,9.2610852,-14.70006787,4.0,-0.007854747347288155,0.0,0.0,0.9999691509962246
1.65896,9.229231140000001,-14.70062764,3.99774591,-0.0028459692765726683,-0.00018188259500818694,-0.0006504316485622202,0.9999957221489845
1.762569,9.20000236,-14.70120159,4.00000769,-0.00680469541784022,0.0003022600190109241,-0.0011341642816210913,0.9999761589310685
1.866302,9.167976750000001,-14.70183601,3.9996448,-0.011397428680558042,-0.00019011711766965425,0.0016397753294526759,0.9999336846070453
1.969923,9.128694359999999,-14.702574219999999,4.0002064100000005,-0.006737871644357495,0.0008002131119061819,0.003623855808546781,0.9999704137692067
2.073666,9.07934181,-14.70341361,4.0,-0.00800236265537342,0.0,0.0,0.9999679805833445
2.177281,9.04424228,-14.703952059999999,4.00026974,-0.00879687516653402,0.002108163043581841,-0.0028167434645410224,0.9999551172888416
2.281017,9.00762215,-14.70446794,4.00082623,-0.004272743954429621,0.0030827497058804284,-0.0008285680634957211,0.9999857767930078
2.384639,8.96489828,-14.70501829,3.99998462,-0.010040548357073138,-0.0036945094781747293,-0.0001583682520234053,0.9999427548154453
2.48825,8.91500786,-14.705601099999999,4.00450818,-0.012431968272587744,-0.005745444309229806,-0.0030869981552461424,0.9999014483822635
2.591988,8.856738739999999,-14.706213600000002,4.0,-0.004977222144240497,0.0,0.0,0.9999876135531514
2.695832,8.78871722,-14.706852060000001,3.99263492,-0.0016842505600909872,0.0007216261967079832,0.0006639474060205963,0.9999981008629593
2.799367,8.74428943,-14.70723166,3.99718918,-0.0043355210071829,-0.0012498058166826064,-0.0022654695951104054,0.9999872543640396
2.903084,8.69736742,-14.70760493,4.00142079,-0.003315833091786279,0.000847420678748486,0.003582183158561802,0.9999877274711523
3.006768,8.645486550000001,-14.7079884,3.99917436,-0.004536465884568003,-0.003071047293655155,0.007092078895476879,0.9999598449751563
3.110441,8.58815234,-14.70838053,4.0,-0.003286815582622188,0.0,0.0,0.9999945984070743
3.214057,8.52482502,-14.708779730000002,3.9989210500000003,0.0016648866579702076,0.003937604903187984,-0.002085270169968718,0.9999886874701938
3.317669,8.45492002,-14.70918402,3.9966950700000003,0.0004142355631127786,-1.3875127745205129e-05,0.0013476673949629236,0.9999990060039918
3.421285,8.377803199999999,-14.70959118,4.0035368,-0.005197249228726091,0.001212735995537325,-0.00266811399233833,0.9999821993613603
3.524925,8.29279328,-14.709998650000001,4.00244407,-0.004015542404775989,0.003190948327497677,-0.00566426616587855,0.9999708042521884
3.628545,8.22294744,-14.7103048,4.0,-0.00210574691296766,0.0,0.0,0.9999977829125115
3.732256,8.16200344,-14.710552909999999,4.0032697200000005,-0.0019434026468177167,-0.004863192655110688,0.006491776318417469,0.9999652140867619
3.835871,8.09668785,-14.71080084,4.00211597,-0.0008096598164629207,-0.0028680751397087284,0.003486168565685307,0.9999894825570448
3.939488,8.026710399999999,-14.71104752,3.9974206,-0.003238224725792652,0.0016470251403302397,-0.003287056430377224,0.999987998162396
4.043107,7.95176918,-14.711291750000001,3.9940000400000004,-0.0045859125361951275,-0.0022962102071020845,-0.005280756717916869,0.9999729048496171
4.146888,7.87154037,-14.711532259999998,4.0,-0.0014351139381291,0.0,0.0,0.9999989702234621
4.25046,7.7856840400000005,-14.711767640000001,4.00028617,0.0017276149096216683,0.008088686407935898,0.0003188803333294254,0.9999657428203484
4.354202,7.69383795,-14.7119964,3.99692663,0.00034543935065088464,0.0040980474669214265,-0.0016494752499233297,0.9999901829068192
4.45794,7.59562428,-14.71221691,4.00469537,-0.001900670222092396,-0.0033846140196937633,0.0026681730846294252,0.9999889062849823
4.561559,7.49064524,-14.71242743,4.00926967,0.000169566619672356,-0.003920915590660774,0.005650699335500874,0.9999763333525011
4.665293,7.384886000000001,-14.71261542,4.0,-0.0008348519707737937,0.0,0.0,0.9999996515110328
4.768912,7.30611007,-14.71274093,3.99406337,-0.005213192318499374,-0.001095791460366693,-0.005645848803761574,0.9999698726752776
4.872532,7.2232317,-14.71286047,3.99860208,-0.003139585268735374,-0.0015516528110104146,-0.0026569130614863784,0.9999903380487624
4.976146,7.136058070000001,-14.712973210000001,4.00000764,0.0006406598920632215,0.0014403478462348596,0.0027637848700265196,0.9999949382102776
5.079909,7.0443876,-14.71307824,3.99774591,-0.0032210844708350198,0.0004909147604542237,0.0062455788188999104,0.9999751878735524
5.183503,6.9480131400000005,-14.713174610000001,4.0,-0.0004641441179640342,0.0,0.0,0.9999998922851131
5.287117,6.8467131,-14.71326133,4.00177794,0.0010493579955811081,-0.0004686518260379724,-0.002092363817016576,0.9999971506094006
5.390861,6.7402616,-14.71333733,3.9995213,-0.002803798667845802,-0.001438321016293345,0.0013517069067214649,0.9999941213997823
5.494473,6.628423430000001,-14.71340152,4.0004787,0.0038414306649948455,0.002155394250921647,-0.001440483157805384,0.9999892612895106
5.598233,6.5109515799999995,-14.713452720000001,3.9982220600000002,0.007912052000389027,0.004628312194321875,0.0015328461123941186,0.9999568133385416
5.701829,6.38759221,-14.71348971,4.0,-0.00011653563389189164,0.0,0.0,0.999999993209723
5.805571,6.258079830000001,-14.713511200000001,4.00511099,-0.00188095596374189,-0.004236309505214463,-0.00605890371453071,0.999970902262769
5.909185,6.122137340000001,-14.71351584,4.00281875,0.002089303952756724,-0.0017323589722829055,-0.0030764515248755966,0.9999915845582898
6.012921,6.01495601,-14.71350731,3.9972971100000003,-0.0032131777626139084,0.0015460999964914948,0.002966787159122795,0.9999892415608377
6.116541,5.91026938,-14.713489130000001,3.99557157,-0.00516518694986373,0.0030617568764522915,0.005455570318790375,0.9999670910790509
